               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1043,            0.022695,            0.029952,              0.5606,             0.33766,             0.18942,            0.059638,            0.078597,            0.019582,            0.021376,             0.07009,           0.0033233,           0.0033233
                   1,            0.076605,            0.017843,            0.014018,             0.76954,             0.34406,             0.33615,             0.12393,            0.071834,            0.018781,            0.017176,            0.036795,           0.0033616,           0.0033616
