               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099922,            0.021297,            0.026955,              0.6806,             0.32179,              0.2755,            0.098729,            0.071284,            0.019029,            0.020007,            0.070023,           0.0033308,           0.0033308
                   1,            0.072683,            0.017134,            0.012332,             0.83809,              0.3997,              0.4149,             0.17835,            0.062042,            0.017881,            0.015647,            0.037823,            0.004465,            0.004465
                   2,            0.063176,            0.016124,           0.0092992,             0.85625,             0.42421,             0.45732,             0.21617,            0.057614,            0.017054,            0.015706,           0.0034242,           0.0033991,           0.0033991
